Name,Artist,Year
Biff! Bang! Pow!,The Creation,1966
Raised Eyebrows,The Feelies,1980
Bring on the China,Pell Mell,1994
What Goes On [Closet Mix],The Velvet Underground,1969
Primitive Painters,Felt,
Hong Kong Garden,Siouxsie & The Banshees,2002
Hang On,SNAPPER,1988
The Slide,Tall Dwarfs,2013
Great Radio,Bongwater,
The Water,Goblin Mix and The Exploding Budgies,1991
Not Me,This Mortal Coil,1984
Castaway,The Terminals,
Father's Name Was Dad,Fire,1967
Alien,Bird Nest Roys,2013
Filter,David Kilgour,1994
Shadowplay,Joy Division,1979
Can't Find Water,The Great Unwashed,1992
Stop It,Pylon,1980
Monkeys on Juice,Red Lorry Yellow Lorry,1984
I Walked with a Zombie,Roky Erickson,2013
Hallucinations,Tomorrow,
Big Epic,Uncle Wiggly,1991
Lazy Line Painter Jane,Belle & Sebastian,1997
This Is the Way,The Chills,1986
I Think I'm Going Weird,Art,1967
Green Cigar,Scorched Earth Policy,
New Rose,The Damned,2008
Summer Stone,3Ds,1993
Panic In Detroit,David Bowie,
Whirly-Bird,Silver Apples,1968
I'm Straight,The Modern Lovers,1973
Outside Chance,The Turtles,
Don't You Remember?,The Sound Magics,1966
Love Hate Revenge,Episode Six,1967
Hot Pink,Meat Puppets,1985
Left/Right,Dinosaur Jr.,2016
Transdermal Celebration,Ween,2003
Circles,Moon Duo,
Revox,Stereolab,1995
Fish,The Clean,2003
Push [Instrumental Demo],The Cure,1984
As Does The Sun,Look Blue Go Purple,
Deluxe (Immer Wieder),Harmonia,1975
London Social Degree,Billy Nicholls,
14 Iced Bears - Come Get Me,,
Antique Doll,The Electric Prunes,1967
Crazy,Neu!,
Algo Mais,Os Mutantes,1969
Madman Running Through The Fields,Dantalian's Chariot,1967
Ty Segall - Thank God for Sinners,,
Vacuum Cleaner,Tintern Abbey,1967
My Mind's Eye,The Small Faces,1966
Angry Martyr,Able Tasmans,1990
Max Ernst,MISSION OF BURMA,
Summer Cannibals,Patti Smith,1996
Venus,Television,1977
Grey Streets,Felt,1986
Close Lobsters - Going to Heaven to See If It Rains,,
"Long Time, No See",Emitt Rhodes,1970
Song for Three (Single Version),Gentle Soul,1967
Never Turn Your Back On Mother Earth,,
Murdoch,Trees,
Take It As It Comes,THE DOORS,
Lost In My World,Los Dug Dug's,1971
It's Cold Outside,Victor Dimisich Band,1982
Television Personalities - This angry silence,,
Crisis After Crisis (Album Version),The Verlaines,1982
United Travel Service - Drummer of your mind,,
Tape Machine,Stephen,
Here It Comes,The Brian Jonestown Massacre,2007
Connection,The Rolling Stones,1967
Waterpark,Royal Trux,1999
THOMAS LEER private plane 1978,,
Down and Around,The Stones,2015
Mr. Clean,The Jam,1978
Order for Order (Riverside Demo),Colin Newman,1980
The Field Mice 'Sensitive 1989,,
Like An Animal,The Glove,1983
P-Model - Art-Mania,,
My Time,Golden Dawn,2012
What's The Use,The Pretty Things,1970
Come All Ye Faces,Bachdenkel,1970
It's You,The Millennium,1968
Syd Barrett - Octopus,,
Gold Is The Colour Of Thought,The Smoke,
Fired Up,Moe Tucker,
Fight Fire,The Golliwogs,
I Need You,The Rationals,
Journey to the Center of the Mind,The Amboy Dukes,
7 and 7 Is,Love,
Collide,Beat Happening,2000
